file	utterances	with_markers	⌈	⌉	⌊	⌋	cross_pairs	timed_pairs	temporal_ok	quality
14-89	43	18	9	7	9	8	9	0	0	fully_paired
15-89	101	30	15	13	15	12	15	0	0	fully_paired
16-89	449	190	99	73	99	76	99	0	0	fully_paired
17-89	19	4	2	1	2	1	2	0	0	fully_paired
18-89	62	12	7	4	7	4	7	0	0	fully_paired
19-89	143	77	40	28	40	28	40	0	0	fully_paired
20-89	36	12	7	4	7	4	7	0	0	fully_paired
21-89	131	69	35	33	35	34	35	0	0	fully_paired
23-91	114	26	13	3	13	4	13	0	0	fully_paired
25-91	50	20	12	10	12	10	12	0	0	fully_paired
26-91	65	28	14	10	14	12	14	0	0	fully_paired
27-91	77	26	14	7	14	7	14	0	0	fully_paired
28-91	93	30	16	12	16	12	16	0	0	fully_paired
29-91	49	11	6	2	6	1	6	0	0	fully_paired
30-91	97	14	7	2	7	2	7	0	0	fully_paired
biscuit	447	296	159	150	165	160	158	0	0	mixed
cafe	516	186	99	111	104	92	98	0	0	mixed
caution1	39	18	9	9	9	9	9	0	0	fully_paired
caution2	217	25	13	13	13	13	13	0	0	fully_paired
chambre	439	251	136	137	143	141	136	0	0	mixed
conv_fam	45	8	4	0	4	0	4	0	0	open_only
conv_table	448	227	118	117	123	124	118	0	0	mixed
danger	16	2	1	0	1	0	1	0	0	open_only
figuration	1808	516	268	268	276	275	268	0	0	mixed
golden	491	160	80	82	82	83	79	0	0	fully_paired
lentilles	31	20	10	10	10	10	10	0	0	fully_paired
logeurs	1792	1233	662	670	747	739	660	0	0	mixed
plan	208	102	52	53	56	56	52	0	0	mixed
poste	122	33	17	18	17	16	17	0	0	fully_paired
tuerie	237	102	55	55	57	57	55	0	0	fully_paired
michelle	360	2	1	1	1	1	1	1	1	fully_paired
person	181	48	26	26	27	27	26	24	24	fully_paired
alyx	216	8	4	3	4	3	4	4	4	fully_paired
ateret	690	6	3	1	3	1	3	3	3	fully_paired
jennifer	423	6	3	0	3	0	3	3	3	open_only
megan	267	12	6	0	6	0	6	6	6	open_only
owen	188	20	10	0	10	0	10	9	8	open_only
anna	164	32	16	0	16	0	16	2	2	open_only
4175	1101	449	245	243	246	244	245	1	1	fully_paired
4504	254	47	25	25	25	25	25	0	0	fully_paired
4708	107	46	23	1	23	1	23	0	0	fully_paired
4823	111	53	27	0	29	0	27	0	0	open_only
4874	135	42	21	21	21	21	21	0	0	fully_paired
4889	1389	598	310	309	310	311	308	0	0	fully_paired
4984	1234	557	293	293	298	291	291	1	1	mixed
5000	1282	528	279	280	280	280	279	1	1	fully_paired
5051	71	14	7	7	7	7	7	0	0	fully_paired
5220	117	2	1	0	1	0	1	0	0	open_only
5635	130	18	9	3	9	2	9	3	3	fully_paired
5926	1136	241	120	120	121	121	119	0	0	fully_paired
6015	111	46	25	25	25	25	25	0	0	fully_paired
6062	1434	527	295	296	301	295	294	0	0	mixed
6065	101	54	28	28	28	27	28	0	0	fully_paired
6093	140	64	36	35	36	36	36	1	1	fully_paired
6126	163	37	19	19	19	19	19	0	0	fully_paired
6193	610	254	136	137	138	134	136	2	2	fully_paired
6239	1255	454	240	239	238	237	236	0	0	fully_paired
6255	103	18	9	9	9	9	9	0	0	fully_paired
6278	332	127	67	67	66	66	66	0	0	fully_paired
6372	94	12	6	0	6	0	6	0	0	open_only
6379	101	33	16	11	17	17	16	0	0	fully_paired
6476	1202	189	95	97	98	95	94	0	0	mixed
6862	771	308	159	160	162	161	159	0	0	mixed
6869	485	141	72	71	71	71	71	0	0	fully_paired
6899	1021	188	95	95	96	96	93	0	0	fully_paired
6938	1413	662	360	361	364	356	359	0	0	mixed
6952	1194	297	152	152	154	154	151	0	0	fully_paired
6269	674	105	53	53	53	53	53	0	0	fully_paired
6285	532	106	53	53	53	52	53	0	0	fully_paired
6526	402	105	54	54	54	54	54	0	0	fully_paired
6561	51	4	2	2	2	2	2	0	0	fully_paired
